title,pdl_count,top_related_titles,skills,combined_text,cluster
top_related_titles,skills,cleaned_title,final_title,top_related_titles cleaned_title final_title,33
 co owner, general manager,business owner,business owner, co owner business owner business owner,41
 ceo & founder, chief executive offi,chairman,chairman, ceo & founder chairman chairman,17
 student teacher, math teacher,science teacher,science teacher, student teacher science teacher science teacher,4
 product manager, sr project manager,construction manager,construction manager, product manager construction manager construction manager,0
 analyst, research intern,internship,internship, analyst internship internship,24
 police officer, us army,teacher,teacher, police officer teacher teacher,4
 vice president, business development manager,operations director,operations director, vice president operations director operations director,31
 senior executive, general manager,team leader,team leader, senior executive team leader team leader,1
 salesman, sales and marketing,account manager,account manager, salesman account manager account manager,36
 secretary, customer service representative,office coordinator,office coordinator, secretary office coordinator office coordinator,30
 junior accountant, auditor,chief accountant,chief accountant, junior accountant chief accountant chief accountant,32
 sales manager, business development manager,account director,account director, sales manager account director account director,36
 operations, warehouse manager,senior operations manager,senior operations manager, operations senior operations manager senior operations manager,6
 interim chief executive, chief executive officer,an outgoing peopleperson with a clientfirst focus looking for further opportunities,an outgoing peopleperson with a clientfirst focus looking for further opportunities, interim chief executive an outgoing peopleperson with a clientfirst focus looking for further opportunities an outgoing peopleperson with a clientfirst focus looking for further opportunities,22
 customer service associate, cashier,customer service supervisor,customer service supervisor, customer service associate customer service supervisor customer service supervisor,19
 agent, realtor®,associate broker,associate broker, agent associate broker associate broker,11
 assistant operations officer, higher executive officer,executive offr,executive offr, assistant operations officer executive offr executive offr,14
 marketing consultant, marketing,marketing specialist,marketing specialist, marketing consultant marketing specialist marketing specialist,6
 sales executive, key account manager,director of business development,director of business development, sales executive director of business development director of business development,38
 sr consultant, management consultant,business analyst,business analyst, sr consultant business analyst business analyst,9
 chairman, president chief executive officer,chief operating officer,chief operating officer, chairman chief operating officer chief operating officer,35
 medical receptionist, hostess,office assistant,office assistant, medical receptionist office assistant office assistant,20
 advisory board member, founder,physician,physician, advisory board member physician physician,17
 school secretary, receptionist,senior secretary,senior secretary, school secretary senior secretary senior secretary,30
 web designer, graphic artist,junior graphic designer,junior graphic designer, web designer junior graphic designer junior graphic designer,3
 marketing internship, student job,research internship,research internship, marketing internship research internship research internship,24
 manager, branch sales manager,loan officer,loan officer, manager loan officer loan officer,11
 barista, banquet server,cashier,cashier, barista cashier cashier,5
 sr software engineer, software architect,team lead,team leader, sr software engineer team lead team leader,1
 junior product manager, group product manager,product owner,product owner, junior product manager product owner product owner,40
 accountant, cfo,business controller,business controller, accountant business controller business controller,6
 trade marketing, online marketing,marketing director,marketing director, trade marketing marketing director marketing director,6
 assistant team leader, project manager,group leader,group leader, assistant team leader group leader group leader,37
 business manager, marketing manager,officer manager,officer manager, business manager officer manager officer manager,20
 graduate student researcher, phd student,phd candidate,phd candidate, graduate student researcher phd candidate phd candidate,7
 finance manager, associate business manager,business executive,business executive, finance manager business executive business executive,6
 rn bsn, nurse practitioner,rn bsn,rn bsn, rn bsn rn bsn rn bsn,22
 staff accountant, business analyst,finance intern,finance intern, staff accountant finance intern finance intern,24
 producer, production director,assistant production manager,assistant production manager, producer assistant production manager assistant production manager,18
 research fellow, intern,phd researcher,phd researcher, research fellow phd researcher phd researcher,7
 director of photography, senior photographer,assistant photographer,assistant photographer, director of photography assistant photographer assistant photographer,3
 server, resident assistant,cashier,cashier, server cashier cashier,5
 finance controller, finance,financial analyst,financial analyst, finance controller financial analyst financial analyst,9
 business development manager, territory manager,territory sales manager,territory sales manager, business development manager territory sales manager territory sales manager,40
 finance director, financial controller,chief financial officer cfo,chief financial officer cfo, finance director chief financial officer cfo chief financial officer cfo,35
 plant manager, director operations,operations director,operations director, plant manager operations director operations director,31
 human resources consultant, human resources specialist,human resource manager,human resource manager, human resources consultant human resource manager human resource manager,27
 independent agent, agency owner,licensed agent,licensed agent, independent agent licensed agent licensed agent,11
 vice president, chief financial officer,director of operations,director of operations, vice president director of operations director of operations,38
 maintenance engineer, project engineer,mechanical project engineer,mechanical project engineer, maintenance engineer mechanical project engineer mechanical project engineer,0
 postdoctoral research associate, associate scientist,research associate ii,research associate ii, postdoctoral research associate research associate ii research associate ii,7
 marketing trainee, sales and marketing assistant,marketing associate,marketing associate, marketing trainee marketing associate marketing associate,6
 sales and marketing coordinator, marketing communications specialist,marketing associate,marketing associate, sales and marketing coordinator marketing associate marketing associate,6
 hr executive, hr assistant,hr officer,hr officer, hr executive hr officer hr officer,20
 sr programmer, software engineer,systems analyst,systems analyst, sr programmer systems analyst systems analyst,9
 bookkeeper, accounting clerk,accounting assistant,accounting assistant, bookkeeper accounting assistant accounting assistant,32
 network security engineer, network technician,network specialist,network specialist, network security engineer network specialist network specialist,2
 mathematics tutor, sales associate,teaching assistant,teaching assistant, mathematics tutor teaching assistant teaching assistant,4
 tutor, preschool teacher,special education teacher,special education teacher, tutor special education teacher special education teacher,4
 happy, emergency room,warehouse in charge,warehouse in charge, happy warehouse in charge warehouse in charge,22
 intern, clerk 1,office clerk,office clerk, intern office clerk office clerk,20
 copywriter, creative consultant,creative,creative, copywriter creative creative,18
 freelance senior account manager, key account manager,senior account director,senior account director, freelance senior account manager senior account director senior account director,6
 summer trainee, assistant branch manager,industrial trainee,industrial trainee, summer trainee industrial trainee industrial trainee,24
 research assistant, research fellow,researcher,researcher, research assistant researcher researcher,16
 office assistant, executive assistant,senior office administrator,senior office administrator, office assistant senior office administrator senior office administrator,20
 intern, member,group treasurer,group treasurer, intern group treasurer group treasurer,30
 resident, emergency physician,doctor of medicine,doctor of medicine, resident doctor of medicine doctor of medicine,34
 senior designer, assistant art director,associate creative director,associate creative director, senior designer associate creative director associate creative director,18
 senior sales director, head of sales,business development manager,business development manager, senior sales director business development manager business development manager,6
 master electrician, lead electrician,journeyman electrician,journeyman electrician, master electrician journeyman electrician journeyman electrician,0
 information technology director, systems administrator,it director,it director, information technology director it director it director,2
 territory representative, sales manager,territory sales representative,territory sales representative, territory representative territory sales representative territory sales representative,40
 junior account executive, enterprise account executive,account director,account director, junior account executive account director account director,36
 hr manager, human resources administrator,human resource,human resource, hr manager human resource human resource,27
 cook (professional), kitchen manager,assistant cook,assistant cook, cook (professional) assistant cook assistant cook,5
 manager, executive director,assoc director,assoc director, manager assoc director assoc director,30
 head of customer service, senior customer service manager,customer services manager,customer services manager, head of customer service customer services manager customer services manager,19
 pharmacist intern, pharmacy student,intern pharmacist,intern pharmacist, pharmacist intern intern pharmacist intern pharmacist,34
 staff accountant, assistant bookkeeper,office manager,officer manager, staff accountant office manager officer manager,20
 chief administrative officer, trainee officer,srofficer,srofficer, chief administrative officer srofficer srofficer,22
 president/chief executive officer, sales executive,corporate secretary,corporate secretary, president/chief executive officer corporate secretary corporate secretary,35
 loss prevention officer, public safety officer,armed security officer,armed security officer, loss prevention officer armed security officer armed security officer,14
 lead trainer, it trainer,training consultant,training consultant, lead trainer training consultant training consultant,12
 director of accounting, accounting,senior accounting manager,senior accounting manager, director of accounting senior accounting manager senior accounting manager,32
 field operator, crane operator,plant operator,plant operator, field operator plant operator plant operator,0
 vice president, doctor of medicine,officer not vice president,officer not vice president, vice president officer not vice president officer not vice president,35
 national sales manager, associate director of sales,assistant director of sales,assistant director of sales, national sales manager assistant director of sales assistant director of sales,38
 postdoctoral scholar, postdoctoral associate,undergraduate research assistant,undergraduate research assistant, postdoctoral scholar undergraduate research assistant undergraduate research assistant,7
